ID,Name,City,Gender,Height,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Constitution
202096,Miranda,Shenzhen,male,1.72,72,77,78,77,91,9,10,10,6,,good
202097,Andrew,Shanghai,male,1.68,76,71,83,75,,10,7,10,4,,bad
202098,Elijah,Shenzhen,female,1.6,67,77,87,62,91,6,10,8,9,,excellent
202099,Alexander,Beijing,male,1.69,88,77,83,75,88,7,6,9,8,,excellent
202100,Octavia,Shenzhen,female,1.64,77,61,84,91,93,7,9,6,8,,general
202101,Jonathan,Shanghai,male,1.63,80,78,91,64,88,9,8,7,5,,excellent
202102,Violet,Shenzhen,female,1.63,76,78,93,78,92,10,9,10,10,,good
202104,Mia,Guangzhou,female,1.63,85,78,76,68,91,10,7,6,10,,general
202105,Frederica,Guangzhou,male,1.67,80,97,86,52,89,6,6,9,5,,good
202106,Carry,Shenzhen,female,1.67,76,72,83,59,92,8,5,5,9,,good
202107,Tamara,Shanghai,female,1.56,81,74,79,68,87,10,6,8,8,,bad
202108,Robert,Guangzhou,male,1.66,82,79,82,65,89,7,9,9,7,,general
202109,Edmund,Shanghai,female,1.59,82,78,97,66,91,7,10,8,8,,general
